Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,ROAS,,,Stage,Values
A1000,Data Analytics Course,104,4498,$231.88,14,7,5.80%,"$1,892.00",2024-11-16,Hyderabad,Desktop,Learn Data Analytics,8.159392789,,,Impressions,11810735
A1001,Data Analytics Course,173,5107,$216.84,10,8,4.60%,"$1,679.00",2024-11-20,Hyderabad,Mobile,Data Analytics Course,7.74303634,,,Clicks,345725
A1002,Data Analytics Course,90,4544,$203.66,26,9,10.00%,"$1,624.00",2024-11-16,Hyderabad,Desktop,Data Analytics Online,7.974074438,,,Leads,51050
A1003,Data Analytics Course,142,3185,$237.66,17,6,4.23%,"$1,225.00",2024-11-26,Hyderabad,Tablet,Data Analytics Training,5.154422284,,,Conversions,16964.35
A1004,Data Analytics Course,156,3361,$195.90,30,8,5.13%,"$1,091.00",2024-11-22,Hyderabad,Desktop,Online Data Analytic,5.569167943,,,Sales Amount,"$3,692,772.00"
A1005,Data Analytics Course,195,3776,$243.57,10,8,4.10%,"$1,315.00",2024-11-16,Hyderabad,Mobile,Data Analytics Training,5.398858644,,,,
A1006,Data Analytics Course,116,4480,$237.79,17,5,4.30%,"$1,640.00",2024-11-06,Hyderabad,Tablet,Data Analytics Course,6.896841751,,,,
A1007,Data Analytics Course,184,5060,$229.61,23,3,1.60%,"$1,509.00",2024-11-24,Hyderabad,Tablet,Analytics For Data,6.572013414,,,,
A1008,Data Analytics Course,113,5434,"$13,101.22",27,4,5.80%,"$1,362.00",2024-11-24,Hyderabad,Tablet,Data Analytics Training,0.1039597839,,,,
A1009,Data Analytics Course,166,3355,$186.78,24,9,5.40%,"$1,029.00",2024-11-12,Hyderabad,Mobile,Online Data Analytic,5.509155156,,,,
A1010,Data Analytics Course,101,5399,$236.79,20,6,5.90%,"$1,900.00",2024-11-14,Hyderabad,Desktop,Learn Data Analytics,8.023987499,,,,
A1011,Data Analytics Course,101,3613,$208.12,24,5,5.00%,"$1,130.00",2024-11-22,Hyderabad,Desktop,Online Data Analytic,5.429559869,,,,
A1012,Data Analytics Course,125,3259,$191.30,18,3,2.40%,"$1,959.00",2024-11-27,Hyderabad,Desktop,Data Analytics Online,10.24046001,,,,
A1013,Data Analytics Course,196,3742,$207.46,10,7,3.80%,"$1,623.00",2024-11-12,Hyderabad,Mobile,Data Analytics Training,7.823194833,,,,
A1014,Data Analytics Course,181,4311,$185.09,11,9,5.00%,"$1,538.00",2024-11-04,Hyderabad,Desktop,Data Analytics Training,8.309471068,,,,
A1015,Data Analytics Course,102,5461,$201.69,22,8,7.80%,"$1,755.00",2024-11-29,Hyderabad,Desktop,Data Analytics Course,8.701472557,,,,
A1016,Data Analytics Course,193,5159,"$22,376.42",15,9,4.70%,"$1,614.00",2024-11-10,Hyderabad,Mobile,Learn Data Analytics,0.07212950061,,,,
A1017,Data Analytics Course,149,4431,$207.40,19,9,6.00%,"$1,693.00",2024-11-12,Hyderabad,Mobile,Learn Data Analytics,8.162970106,,,,
A1018,Data Analytics Course,150,3113,$217.41,20,5,3.33%,"$1,785.00",2024-11-07,Hyderabad,Mobile,Analytics For Data,8.210293915,,,,
A1019,Data Analytics Course,145,5278,"$16,811.30",25,6,4.10%,"$1,516.00",2024-11-05,Hyderabad,Desktop,Data Analytics Course,0.09017744017,,,,
A1020,Data Analytics Course,184,4143,$223.30,10,10,4.40%,"$1,735.00",2024-11-21,Hyderabad,Tablet,Learn Data Analytics,7.769816391,,,,
A1021,Data Analytics Course,171,4154,$184.23,30,7,4.10%,"$1,803.00",2024-11-08,Hyderabad,Tablet,Data Analytics Online,9.786679694,,,,
A1022,Data Analytics Course,122,5187,$211.24,27,6,4.90%,"$1,322.00",2024-11-20,Hyderabad,Desktop,Online Data Analytic,6.258284416,,,,
A1023,Data Analytics Course,188,5798,$230.17,28,5,4.70%,"$1,452.00",2024-11-30,Hyderabad,Tablet,Data Analytics Course,6.308380762,,,,
A1024,Data Analytics Course,87,3718,"$10,086.78",12,3,3.40%,"$1,652.00",2024-11-20,Hyderabad,Tablet,Learn Data Analytics,0.1637787282,,,,
A1025,Data Analytics Course,88,3349,$181.92,22,8,9.10%,"$1,456.00",2024-11-20,Hyderabad,Tablet,Learn Data Analytics,8.00351803,,,,
A1026,Data Analytics Course,119,5323,$205.92,17,10,6.00%,"$1,656.00",2024-11-02,Hyderabad,Desktop,Online Data Analytic,8.041958042,,,,
A1027,Data Analytics Course,0,5286,$234.89,22,10,0.00%,"$1,688.00",2024-11-21,Hyderabad,Desktop,Data Analytics Training,7.186342543,,,,
A1028,Data Analytics Course,128,5469,$188.49,16,3,2.34%,"$1,783.00",2024-11-23,Hyderabad,Mobile,Learn Data Analytics,9.459387766,,,,
A1029,Data Analytics Course,86,3351,$237.75,21,9,10.50%,"$1,975.00",2024-11-13,Hyderabad,Mobile,Analytics For Data,8.307045216,,,,
A1030,Data Analytics Course,188,4834,$213.58,15,4,2.10%,"$1,590.00",2024-11-08,Hyderabad,Tablet,Online Data Analytic,7.444517277,,,,
A1031,Data Analytics Course,113,5065,$212.37,11,5,4.42%,"$1,111.00",2024-11-22,Hyderabad,Desktop,Online Data Analytic,5.231435702,,,,
A1032,Data Analytics Course,0,3872,$244.38,20,4,0.00%,"$1,041.00",2024-11-12,Hyderabad,Tablet,Data Analytics Online,4.259759391,,,,
A1033,Data Analytics Course,176,5509,$234.59,19,7,5.40%,"$1,710.00",2024-11-03,Hyderabad,Tablet,Data Analytics Course,7.28931327,,,,
A1034,Data Analytics Course,121,5610,$214.96,23,8,6.61%,"$1,533.00",2024-11-25,Hyderabad,Mobile,Data Analytics Course,7.13155936,,,,
A1035,Data Analytics Course,104,5275,$236.48,16,9,3.10%,"$1,824.00",2024-11-01,Hyderabad,Desktop,Data Analytics Training,7.713125846,,,,
A1036,Data Analytics Course,146,5939,$242.90,11,8,3.50%,"$1,833.00",2024-11-07,Hyderabad,Desktop,Data Analytics Training,7.546315356,,,,
A1037,Data Analytics Course,123,5131,"$14,260.62",19,5,4.10%,"$1,307.00",2024-11-09,Hyderabad,Mobile,Learn Data Analytics,0.09165099414,,,,
A1038,Data Analytics Course,90,5786,$197.55,11,6,4.30%,"$1,704.00",2024-11-16,Hyderabad,Mobile,Online Data Analytic,8.625664389,,,,
A1039,Data Analytics Course,171,4304,$192.61,17,10,5.80%,"$1,427.00",2024-11-26,Hyderabad,Mobile,Learn Data Analytics,7.40875344,,,,
A1040,Data Analytics Course,94,5549,$231.23,25,9,9.60%,"$1,849.00",2024-11-12,Hyderabad,Mobile,Data Analytics Training,7.996367253,,,,
A1041,Data Analytics Course,112,4271,$196.07,27,6,5.36%,"$1,209.00",2024-11-14,Hyderabad,Desktop,Data Analytics Online,6.166165145,,,,
A1042,Data Analytics Course,113,4418,$191.55,27,10,8.85%,"$1,634.00",2024-11-09,Hyderabad,Mobile,Data Analytics Course,8.530409815,,,,
A1043,Data Analytics Course,145,3721,$180.95,21,7,4.80%,"$1,960.00",2024-11-29,Hyderabad,Desktop,Data Analytics Online,10.83172147,,,,
A1044,Data Analytics Course,197,5783,$204.46,23,6,3.05%,"$1,729.00",2024-11-01,Hyderabad,Tablet,Data Analytics Training,8.456421794,,,,
A1045,Data Analytics Course,109,4866,$236.78,27,5,4.59%,"$1,585.00",2024-11-15,Hyderabad,Mobile,Online Data Analytic,6.693977532,,,,
A1046,Data Analytics Course,188,5857,$222.98,20,4,4.80%,"$1,303.00",2024-11-11,Hyderabad,Desktop,Data Analytics Training,5.843573415,,,,
A1047,Data Analytics Course,142,5103,$234.10,24,3,2.10%,"$1,835.00",2024-11-08,Hyderabad,Mobile,Analytics For Data,7.838530543,,,,
A1048,Data Analytics Course,168,4653,$240.84,27,9,5.40%,"$1,367.00",2024-11-24,Hyderabad,Mobile,Online Data Analytic,5.675967447,,,,
A1049,Data Analytics Course,110,3524,$248.86,19,10,9.10%,"$1,524.00",2024-11-21,Hyderabad,Mobile,Learn Data Analytics,6.123925098,,,,
A1050,Data Analytics Course,192,5938,$182.84,26,5,3.90%,"$1,080.00",2024-11-12,Hyderabad,Mobile,Analytics For Data,5.906803763,,,,
A1051,Data Analytics Course,101,3942,$206.62,16,5,5.00%,"$1,746.00",2024-11-24,Hyderabad,Tablet,Analytics For Data,8.450295228,,,,
A1052,Data Analytics Course,157,3315,$189.56,15,10,6.40%,"$1,026.00",2024-11-25,Hyderabad,Mobile,Online Data Analytic,5.41253429,,,,
A1053,Data Analytics Course,113,4945,$187.66,15,10,8.85%,"$1,564.00",2024-11-26,Hyderabad,Tablet,Learn Data Analytics,8.334221464,,,,
A1054,Data Analytics Course,96,3166,$196.15,29,7,7.30%,"$1,902.00",2024-11-26,Hyderabad,Desktop,Learn Data Analytics,9.696660719,,,,
A1055,Data Analytics Course,125,4223,$183.68,15,6,4.80%,"$1,267.00",2024-11-05,Hyderabad,Desktop,Data Analytics Online,6.897865854,,,,
A1056,Data Analytics Course,104,4798,$210.10,18,3,2.88%,"$1,340.00",2024-11-21,Hyderabad,Desktop,Analytics For Data,6.377915278,,,,
A1057,Data Analytics Course,194,5655,$208.58,13,6,3.10%,"$1,692.00",2024-11-16,Hyderabad,Mobile,Data Analytics Training,8.111995397,,,,
A1058,Data Analytics Course,144,5140,$219.48,19,8,4.70%,"$1,054.00",2024-11-18,Hyderabad,Desktop,Data Analytics Online,4.802259887,,,,
