Device,SUM of Clicks,SUM of Conversions,SUM of Sale_Amount,SUM of Cost,CTR (Click-Through Rate),CPC (Cost per Click),CPA (Cost per Conversion),ROAS (Return on Ad Spend)
Desktop,116605,5817.85,"$1,265,766.00","$622,271.12",0.02887167832,$5.34,$106.96,2.034106934
Mobile,118342,5800.25,"$1,238,875.00","$653,115.31",0.02961132848,$5.52,$112.60,1.896870248
Tablet,110778,5346.25,"$1,188,131.00","$730,785.80",0.02934134924,$6.60,$136.69,1.62582661
Grand Total,345725,16964.35,"$3,692,772.00","$2,006,172.23",0.02927209865,$5.80,$118.26,1.840705372
,,,,,,,,
,,,,,,,,
,,,,,,,,
Keyword,SUM of Clicks,SUM of Conversions,SUM of Sale_Amount,Conversion Rate,CPC,ROAS,,
Analytics For Data,56021,2746.8,"$612,229.00",0.04903161315,$5.97,1.830183571,,
Data Analytics Course,59369,2905.8,"$636,256.00",0.04894473547,$4.56,2.35014187,,
Data Analytics Online,55931,2680,"$582,311.00",0.04791618244,$7.34,1.418570765,,
Data Analytics Training,54786,2740.8,"$590,040.00",0.05002737926,$5.86,1.839233063,,
Learn Data Analytics,58698,2896.6,"$643,359.00",0.04934750758,$4.95,2.214816996,,
Online Data Analytic,60920,2994.35,"$628,577.00",0.04915216678,$6.22,1.657880056,,
Grand Total,345725,16964.35,"$3,692,772.00",0.04906891315,$5.80,1.840705372,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Ad_Date,SUM of Clicks,SUM of Impressions,SUM of Conversions,SUM of Sale_Amount,CTR,CPA,SUM of Cost,
2024-11-01,10353,333659,500.7,"$107,250.00",0.03102868497,$33.34,"$16,694.92",
2024-11-02,10785,403202,573.9,"$125,962.00",0.02674837922,$154.29,"$88,547.64",
2024-11-03,10689,367650,494.8,"$110,400.00",0.02907384741,$123.82,"$61,265.33",
2024-11-04,11834,368817,519.2,"$120,534.00",0.03208637346,$64.39,"$33,432.17",
2024-11-05,12792,412725,568.85,"$130,855.00",0.03099400327,$194.63,"$110,714.83",
2024-11-06,10462,320285,477.25,"$101,639.00",0.03266465804,$162.28,"$77,445.91",
2024-11-07,10972,378014,529.45,"$123,203.00",0.02902538001,$109.85,"$58,158.67",
2024-11-08,12002,413389,602.1,"$127,913.00",0.02903318666,$79.07,"$47,606.32",
2024-11-09,10876,357475,542.65,"$113,726.00",0.03042450521,$76.90,"$41,729.14",
2024-11-10,10567,355398,547.3,"$115,647.00",0.02973286287,$174.77,"$95,650.10",
2024-11-11,9418,334901,444.05,"$107,264.00",0.02812174344,$78.52,"$34,866.06",
2024-11-12,10698,363544,506.8,"$109,165.00",0.02942697445,$151.71,"$76,885.61",
2024-11-13,11946,392210,588.55,"$119,731.00",0.03045817292,$104.67,"$61,601.09",
2024-11-14,15721,530701,770.95,"$165,689.00",0.02962308343,$158.32,"$122,060.36",
2024-11-15,11855,428519,615.5,"$133,821.00",0.02766505102,$115.79,"$71,269.98",
2024-11-16,11422,407339,586.45,"$131,096.00",0.02804052644,$100.56,"$58,973.30",
2024-11-17,9285,313577,474.05,94410,0.02960995226,$191.48,"$90,771.61",
2024-11-18,13734,466686,652.5,"$149,427.00",0.02942878081,$141.84,"$92,552.92",
2024-11-19,10827,396621,585.55,"$124,512.00",0.02729810071,$173.73,"$101,727.46",
2024-11-20,12585,453481,637.8,"$142,115.00",0.02775198961,$98.74,"$62,974.54",
2024-11-21,12401,416309,623.7,"$131,436.00",0.02978796999,$63.68,"$39,718.59",
2024-11-22,12133,430135,585.15,"$122,321.00",0.02820742325,$114.24,"$66,847.57",
2024-11-23,11478,412854,573.4,"$134,307.00",0.02780159572,$97.08,"$55,668.03",
2024-11-24,12381,404754,577,"$124,889.00",0.03058895033,$55.79,"$32,190.84",
2024-11-25,13514,468672,665.75,"$138,676.00",0.02883466475,$92.06,"$61,288.61",
2024-11-26,12544,412550,618.5,"$126,695.00",0.03040601139,$130.98,"$81,008.69",
2024-11-27,10613,381294,577.65,"$122,238.00",0.02783416471,$71.22,"$41,140.07",
2024-11-28,9974,343693,503.25,"$113,902.00",0.02902008478,$165.29,"$83,183.28",
2024-11-29,11509,390752,553.8,"$117,386.00",0.02945346409,$108.22,"$59,932.97",
2024-11-30,10355,351529,467.75,"$106,563.00",0.02945702915,$171.60,"$80,265.62",
Grand Total,345725,11810735,16964.35,"$3,692,772.00",0.02927209865,$118.26,"$2,006,172.23",
,,,,,,,,
,,,,,,,,
,,,,,,,,
SUM of Cost,SUM of Sale_Amount,ROAS,,,,,,
"$2,006,172.23","$3,692,772.00",1.840705372,,,,,,
